scandatum;scanzeit;messpunkt;messpunktname;tour;dispogebiet;sendungen;colli;gewicht;ladezeit
2026-02-15;14:00;MP115;Tor 115;89;;1;27;0;
2026-02-15;14:00;MP114;Tor 114;41;;1;15;0;
2026-02-15;14:00;MP113;Tor 113;42;;2;78;0;
2026-02-15;14:00;MP112;Tor 112;37;;1;59;0;
2026-02-15;14:00;MP111;Tor 111;38;;1;8;0;
2026-02-15;14:00;MP110;Tor 110;49;;1;44;0;
2026-02-15;14:00;MP109;Tor 109;34;;2;61;0;
2026-02-15;14:00;MP108;Tor 108;36;;2;62;0;
2026-02-15;14:00;MP107;Tor 107;32;;1;51;0;
2026-02-15;14:00;MP106;Tor 106;77;;1;44;0;
2026-02-15;14:00;MP105;Tor 105;98;;1;18;0;
2026-02-15;14:00;MP104;Tor 104;90;;1;48;0;
2026-02-15;14:00;MP103;Tor 103;91;;1;28;0;
2026-02-15;14:00;MP102;Tor 102;92;;1;34;0;
2026-02-15;14:00;MP101;Tor 101;88;;1;34;0;
2026-02-15;14:00;MP99;Tor 99;72;;3;116;0;
2026-02-15;14:00;MP98;Tor 98;74;;1;26;0;
2026-02-15;14:00;MP96;Tor 96;73;;2;69;0;
2026-02-15;14:00;MP95;Tor 95;76;;4;121;0;
2026-02-15;14:00;MP87;Tor 87;21;;2;80;0;
2026-02-15;14:00;MP86;Tor 86;15;;1;27;0;
2026-02-15;14:00;MP85;Tor 85;96;;2;79;0;
2026-02-15;14:00;MP84;Tor 84;99;;1;28;0;
2026-02-15;14:00;MP80;Tor 80;47;;1;28;0;
2026-02-15;14:00;MP79;Tor 79;46;;1;42;0;
2026-02-15;14:00;MP78;Tor 78;63/ 64;;1;9;0;
2026-02-15;14:00;MP77;Tor 77;57/ 56;;1;32;0;
2026-02-15;14:00;MP76;Tor 76;58;;1;16;0;
2026-02-15;14:00;MP75;Tor 75;59;;1;40;0;
2026-02-15;14:00;MP74;Tor 74;70;;2;73;0;
2026-02-15;14:00;MP73;Tor 73;55;;1;23;0;
2026-02-15;14:00;MP72;Tor 72;52;;1;3;0;
2026-02-15;14:00;MP71;Tor 71;51;;2;79;0;
2026-02-15;14:00;MP70;Tor 70;65;;1;30;0;
2026-02-15;14:00;MP69;Tor 69;62;;1;18;0;
2026-02-15;14:00;MP68;Tor 68;61;;1;12;0;
2026-02-15;14:00;MP67;Tor 67;60;;1;0;0;
2026-02-15;14:00;MP66;Tor 66;71;;1;20;0;
2026-02-15;14:00;MP65;Tor 65;95;;1;32;0;
2026-02-15;14:00;MP64;Tor 64;78;;1;24;0;
2026-02-15;14:00;MP63;Tor 63;94;;1;21;0;
2026-02-15;14:00;MP62;Tor 62;94;;1;21;0;
2026-02-15;14:00;MP1;Tor 1;9;;2;67;0;
2026-02-15;14:00;MP2;Tor 2;12;;2;72;0;
2026-02-15;14:00;MP3;Tor 3;27;;1;11;0;
2026-02-15;14:00;MP4;Tor 4;27;;1;11;0;
2026-02-15;14:00;MP5;Tor 5;1;;1;56;0;
2026-02-15;14:00;MP6;Tor 6;1;;1;56;0;
2026-02-15;14:00;MP7;Tor 7;2;;1;53;0;
2026-02-15;14:00;MP8;Tor 8;6;;1;39;0;
2026-02-15;14:00;MP9;Tor 9;6;;1;39;0;
2026-02-15;14:00;MP10;Tor 10;7;;1;12;0;
2026-02-15;14:00;MP11;Tor 11;8;;1;9;0;
2026-02-15;14:00;MP12;Tor 12;11;;1;25;0;
2026-02-15;14:00;MP13;Tor 13;93;;2;89;0;
2026-02-15;14:00;MP28;Tor 28;13;;1;36;0;
2026-02-15;14:00;MP29;Tor 29;13;;1;36;0;
2026-02-15;14:00;MP30;Tor 30;16;;1;35;0;
2026-02-15;14:00;MP31;Tor 31;16;;1;35;0;
2026-02-15;14:00;MP32;Tor 32;17;;9;298;0;
2026-02-15;14:00;MP33;Tor 33;17;;9;298;0;
2026-02-15;14:00;MP35;Tor 35;35;;2;70;0;
2026-02-15;14:00;MP36;Tor 36;35;;2;70;0;
2026-02-15;14:00;MP37;Tor 37;30;;4;132;0;
2026-02-15;14:00;MP38;Tor 38;31;;1;32;0;
2026-02-15;14:00;MP39;Tor 39;31;;1;32;0;
2026-02-15;14:00;MP40;Tor 40;29;;1;44;0;
2026-02-15;14:00;MP41;Tor 41;29;;1;44;0;
2026-02-15;14:00;MP42;Tor 42;28;;2;71;0;
2026-02-15;14:00;MP43;Tor 43;26;;1;47;0;
2026-02-15;14:00;MP44;Tor 44;33;;3;101;0;
