scandatum;scanzeit;messpunkt;messpunktname;tour;dispogebiet;sendungen;colli;gewicht;ladezeit
2026-01-02;00:00;MP7;SA Verladung FV;2851368T;DM AS-Transport;8;30;9734.0;
2026-01-02;00:30;MP7;SA Verladung FV;2851364T;DM AS-Transport;3;5;1261.0;
2026-01-02;00:30;MP7;SA Verladung FV;2851368T;DM AS-Transport;9;18;6778.0;
2026-01-02;01:00;MP7;SA Verladung FV;2851364T;DM AS-Transport;7;13;4062.0;
2026-01-02;01:30;MP7;SA Verladung FV;2851364T;DM AS-Transport;18;31;10968.0;
2026-01-02;02:00;MP7;SA Verladung FV;2851366T;DM AS-Transport;8;11;3094.0;
2026-01-02;02:30;MP7;SA Verladung FV;2851366T;DM AS-Transport;11;25;6801.0;
2026-01-02;03:00;MP7;SA Verladung FV;2851366T;DM AS-Transport;10;32;9434.0;
2026-01-02;03:30;MP7;SA Verladung FV;2851362T;DM AS-Transport;16;54;18689.0;
2026-01-02;04:00;MP4;Nat. Ausgang;;;1;9;810.0;
2026-01-02;04:00;MP4a;Sonderausgang;2852104T;WAB NV - großer NV;1;9;810.0;
2026-01-02;04:00;MP7;SA Verladung FV;2851362T;DM AS-Transport;10;16;4574.0;
2026-01-02;04:00;MP7;SA Verladung FV;2851369T;DM AS-Transport;8;35;11348.0;
2026-01-02;04:00;MP7;SA Verladung FV;2852104T;WAB NV - großer NV;6;34;7970.0;
2026-01-02;04:00;MP7;SA Verladung FV;2852814T;WAB NV - großer NV;1;4;1600.0;
2026-01-02;04:30;MP4;Nat. Ausgang;;;1;1;106.0;
2026-01-02;04:30;MP4a;Sonderausgang;2852814T;WAB NV - großer NV;1;1;106.0;
2026-01-02;04:30;MP7;SA Verladung FV;2851369T;DM AS-Transport;11;24;9467.0;
2026-01-02;04:30;MP7;SA Verladung FV;2851372T;DM AS-Transport;10;22;7474.0;
2026-01-02;04:30;MP7;SA Verladung FV;2851868T;WAB NV - großer NV;2;117;63438.0;
2026-01-02;04:30;MP7;SA Verladung FV;2852104T;WAB NV - großer NV;2;12;8185.8;
2026-01-02;05:00;MP4;Nat. Ausgang;;;1;9;2502.0;
2026-01-02;05:00;MP4a;Sonderausgang;2851952T;WAB NV - großer NV;1;1;278.0;
2026-01-02;05:00;MP7;SA Verladung FV;2851375T;DM AS-Transport;10;46;18200.0;
2026-01-02;05:00;MP7;SA Verladung FV;2851952T;WAB NV - großer NV;1;6;1141.2;
2026-01-02;05:30;MP7;SA Verladung FV;2851375T;DM AS-Transport;14;24;6424.0;
2026-01-02;05:30;MP7;SA Verladung FV;2851417T;NV Tiroch;10;16;5682.0;
2026-01-02;06:00;MP4;Nat. Ausgang;;;1;1;24.0;
2026-01-02;06:00;MP4a;Sonderausgang;2854661T;NV Ciortan;1;1;24.0;
