scandatum;scanzeit;messpunkt;messpunktname;tour;dispogebiet;sendungen;colli;gewicht;ladezeit
2026-02-01;00:00;MP4a;Sonderausgang;2879128T;WAB NV - großer NV;2;3;242.0;
2026-02-01;00:00;MP4a;Sonderausgang;2880968T;WAB NV - großer NV;6;12;3976.0;
2026-02-01;00:00;MP5;SE Entladung FV;;;148;1160;149394.6;
2026-02-01;00:00;MP7;SA Verladung FV;2879054T;WAB NV - großer NV;1;49;8351.0;
2026-02-01;00:00;MP7;SA Verladung FV;2879128T;WAB NV - großer NV;1;1;25.0;
2026-02-01;00:00;MP7;SA Verladung FV;2880241T;WAB NV - großer NV;1;9;2373.0;
2026-02-02;00:00;MP2;Nat. Eingang;;;7;64;6413.8;
2026-02-02;00:00;MP2;Nat. Eingang;2878182T;WAB NV - Abholer;1;2;494.1;
2026-02-02;00:00;MP2;Nat. Eingang;2878602T;NV DS Transporte;2;201;12297.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878603T;NV Fischer;6;10;834.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878604T;NV Fischer;2;2;260.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878605T;NV Fischer;7;42;5672.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878606T;NV Fischer;10;15;1580.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878607T;NV Fischer;5;10;1479.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878608T;NV DS Transporte;18;435;6092.2;
2026-02-02;00:00;MP2;Nat. Eingang;2878611T;NV Strauss;4;4;616.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878615T;NV Strauss;2;2;340.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878619T;NV Strauss;8;11;1113.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878620T;NV DS Transporte;1;9;1419.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878621T;NV DS Transporte;4;4;1351.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878623T;NV AS Transporte;9;30;2074.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878649T;NV DS Transporte;5;25;3506.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878650T;NV Strauss;2;2;111.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878651T;NV Strauss;2;5;691.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878652T;NV DS Transporte;1;1;35.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878654T;NV DS Transporte;10;24;7149.3;
2026-02-02;00:00;MP2;Nat. Eingang;2878655T;NV DS Transporte;3;3;1335.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878658T;NV DS Transporte;1;1;186.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878659T;NV Ciortan;3;3;968.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878662T;NV Ciortan;5;5;304.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878663T;NV AS Transporte;1;4;220.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878664T;NV AS Transporte;8;36;2459.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878665T;NV AS Transporte;11;25;2423.6;
2026-02-02;00:00;MP2;Nat. Eingang;2878668T;NV DS Transporte;6;9;666.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878670T;NV DS Transporte;3;12;1080.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878673T;NV AS Transporte;2;2;250.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878676T;NV AS Transporte;1;4;180.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878678T;NV AS Transporte;2;2;190.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878681T;NV Tiroch;11;13;1050.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878682T;NV Tiroch;7;10;671.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878683T;NV Tiroch;6;17;6009.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878688T;NV Tiroch;7;13;2827.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878689T;NV Tiroch;8;19;3300.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878693T;NV AS Transporte;1;1;21.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878694T;NV AS Transporte;4;7;1694.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878711T;NV Alexandru;6;14;1183.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878714T;NV Strauss;2;2;140.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878723T;NV AS Transporte;5;37;15829.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878724T;NV Bogos Transporte;4;39;1940.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878726T;NV Bogos Transporte;4;7;2090.8;
2026-02-02;00:00;MP2;Nat. Eingang;2878728T;NV Bogos Transporte;6;14;1557.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878730T;NV VP Logistik;4;4;311.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878731T;NV VP Logistik;7;16;4827.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878733T;NV VP Logistik;1;1;680.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878737T;NV Tuncay;6;6;712.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878738T;NV Tuncay;2;5;1800.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878739T;NV Guth;7;7;981.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878740T;NV Guth;4;4;804.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878742T;NV VP Logistik;7;7;820.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878744T;NV Silagi;2;2;372.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878945T;Hofmanagement;3;6;1521.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878979T;NV AS Transporte;6;51;13990.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878981T;NV AS Transporte;10;29;8412.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878983T;NV Ciortan;4;7;549.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878985T;NV Ciortan;3;26;6661.0;
2026-02-02;00:00;MP2;Nat. Eingang;2878992T;WAB NV - Abholer;8;8;781.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879002T;WAB NV - Abholer;22;244;8092.5;
2026-02-02;00:00;MP2;Nat. Eingang;2879024T;WAB NV - Abholer;9;9;1890.7;
2026-02-02;00:00;MP2;Nat. Eingang;2879034T;WAB NV - Abholer;16;47;23895.9;
2026-02-02;00:00;MP2;Nat. Eingang;2879046T;WAB NV - Abholer;27;36;14377.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879056T;WAB NV - Abholer;31;31;7489.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879060T;WAB NV - Abholer;7;29;2059.9;
2026-02-02;00:00;MP2;Nat. Eingang;2879066T;WAB NV - Abholer;32;78;2937.5;
2026-02-02;00:00;MP2;Nat. Eingang;2879076T;WAB NV - Abholer;16;16;2454.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879082T;WAB NV - Abholer;10;103;10920.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879090T;WAB NV - erweitert;3;3;310.8;
2026-02-02;00:00;MP2;Nat. Eingang;2879096T;WAB NV - Abholer;27;55;12125.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879106T;WAB NV - erweitert;1;1;150.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879110T;WAB NV - Abholer;18;24;3090.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879120T;WAB NV - Abholer;19;51;18723.5;
2026-02-02;00:00;MP2;Nat. Eingang;2879130T;WAB NV - Abholer;14;77;4076.3;
2026-02-02;00:00;MP2;Nat. Eingang;2879140T;WAB NV - Abholer;12;24;16247.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879150T;WAB NV - Abholer;11;28;14403.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879166T;WAB NV - Abholer;3;341;68504.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879170T;WAB NV - Abholer;21;43;10737.0;
2026-02-02;00:00;MP2;Nat. Eingang;2879210T;WAB NV - Abholer;14;58;18045.0;
